#  time               r              phi             Phi             Pi            delta              A            Ricci
0.1178097245    0.4241150082    0.1020310361   -1.4992359559    0.2539239340   -3.1550351317    0.4216411635  -10.4290544871
0.1178097245    0.5654866776    0.0097478863   -0.1900381703    0.1524262028   -3.1911171560    0.6343909683  -11.9879692490
0.1178097245    0.7068583471    0.0002997784   -0.0092761424    0.0086245065   -3.1919064314    0.7793058097  -11.9999891281
0.1178097245    0.8482300165    0.0000010181   -0.0000525201    0.0000503803   -3.1919077963    0.8743118275  -11.9999999998
0.1178097245    0.9896016859    0.0000000001   -0.0000000053    0.0000000052   -3.1919077963    0.9354544905  -12.0000000000
0.1178097245    1.1309733553    0.0000000000   -0.0000000000    0.0000000000   -3.1919077963    0.9721907632  -12.0000000000
0.1178097245    1.2723450247    0.0000000000   -0.0000000000    0.0000000000   -3.1919077963    0.9913292259  -12.0000000000
0.1178097245    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -3.1919077963    0.9987364907  -12.0000000000
0.1374446786    0.1413716694    1.8046005650   -8.4061778754   -1.0657196548   -0.4448433369    0.6954867395   95.8179990013
0.1374446786    0.2827433388    0.6348124874   -6.6474740846   -1.4795630776   -2.4444379720    0.2712738498   10.6252032591
0.1374446786    0.4241150082    0.1042028764   -1.4470163941    0.2892962668   -3.1781756910    0.4226539481  -10.5451101692
0.1374446786    0.5654866776    0.0117915441   -0.2134101325    0.1756953764   -3.2146439152    0.6346278965  -11.9861653035
0.1374446786    0.7068583471    0.0004583120   -0.0132390257    0.0122482350   -3.2157397601    0.7793072240  -11.9999764018
0.1374446786    0.8482300165    0.0000023052   -0.0001103384    0.0001054810   -3.2157427361    0.8743118486  -11.9999999992
0.1374446786    0.9896016859    0.0000000003   -0.0000000235    0.0000000229   -3.2157427362    0.9354545013  -12.0000000000
0.1374446786    1.1309733553    0.0000000000   -0.0000000000    0.0000000000   -3.2157427362    0.9721907679  -12.0000000000
0.1374446786    1.2723450247    0.0000000000   -0.0000000000    0.0000000000   -3.2157427362    0.9913292273  -12.0000000000
0.1374446786    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -3.2157427362    0.9987364909  -12.0000000000
0.1570796327    0.1413716694    1.8036402346   -8.4078171147   -1.2086085643   -0.4487138556    0.6939216857   95.1862593633
0.1570796327    0.2827433388    0.6309262852   -6.6840395512   -1.6948716349   -2.4733545774    0.2675350399   10.2191984035
0.1570796327    0.4241150082    0.1066473301   -1.3915126444    0.3209359841   -3.2047532228    0.4237549051  -10.6638769556
0.1570796327    0.5654866776    0.0141177119   -0.2379141762    0.1977198238   -3.2415410344    0.6349297098  -11.9833514656
0.1570796327    0.7068583471    0.0006798093   -0.0183426531    0.0168701979   -3.2430196066    0.7793099659  -11.9999514237
0.1570796327    0.8482300165    0.0000049096   -0.0002182761    0.0002079019   -3.2430257155    0.8743118735  -11.9999999965
0.1570796327    0.9896016859    0.0000000012   -0.0000000912    0.0000000885   -3.2430257160    0.9354545139  -12.0000000000
0.1570796327    1.1309733553    0.0000000000   -0.0000000000    0.0000000000   -3.2430257160    0.9721907733  -12.0000000000
0.1570796327    1.2723450247    0.0000000000   -0.0000000000    0.0000000000   -3.2430257160    0.9913292290  -12.0000000000
0.1570796327    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -3.2430257160    0.9987364912  -12.0000000000
0.1767145868    0.1413716694    1.8025897299   -8.4096631684   -1.3479643106   -0.4529471196    0.6922133525   94.4979496931
0.1767145868    0.2827433388    0.6265679094   -6.7259177628   -1.9117689597   -2.5058733213    0.2633791498    9.7696574150
0.1767145868    0.4241150082    0.1093330243   -1.3342704040    0.3481201613   -3.2347142689    0.4249195586  -10.7809939644
0.1767145868    0.5654866776    0.0167091746   -0.2628110364    0.2182015705   -3.2717166358    0.6353029407  -11.9794467771
0.1767145868    0.7068583471    0.0009803385   -0.0247183953    0.0225868499   -3.2736575316    0.7793150073  -11.9999052821
0.1767145868    0.8482300165    0.0000098860   -0.0004086491    0.0003876964   -3.2736693870    0.8743119030  -11.9999999868
0.1767145868    0.9896016859    0.0000000044   -0.0000003147    0.0000003047   -3.2736693890    0.9354545283  -12.0000000000
0.1767145868    1.1309733553    0.0000000000   -0.0000000000    0.0000000000   -3.2736693890    0.9721907795  -12.0000000000
0.1767145868    1.2723450247    0.0000000000   -0.0000000000    0.0000000000   -3.2736693890    0.9913292310  -12.0000000000
0.1767145868    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -3.2736693890    0.9987364914  -12.0000000000
0.1963495408    0.1413716694    1.8014611291   -8.4117082559   -1.4834700000   -0.4574943438    0.6903822803   93.7616566504
0.1963495408    0.2827433388    0.6217534719   -6.7732596333   -2.1304610245   -2.5419091478    0.2588336565    9.2800885788
0.1963495408    0.4241150082    0.1122228277   -1.2767536569    0.3701825887   -3.2679967094    0.4261233053  -10.8926482198
0.1963495408    0.5654866776    0.0195450162   -0.2874205450    0.2368424030   -3.3050746399    0.6357520251  -11.9744365286
0.1963495408    0.7068583471    0.0013771362   -0.0324599233    0.0294522817   -3.3075567968    0.7793238137  -11.9998245949
0.1963495408    0.8482300165    0.0000189072   -0.0007273066    0.0006871031   -3.3075786336    0.8743119395  -11.9999999551
0.1963495408    0.9896016859    0.0000000149   -0.0000009779    0.0000009440   -3.3075786403    0.9354545448  -12.0000000000
0.1963495408    1.1309733553    0.0000000000   -0.0000000000    0.0000000000   -3.3075786403    0.9721907866  -12.0000000000
0.1963495408    1.2723450247    0.0000000000   -0.0000000000    0.0000000000   -3.3075786403    0.9913292332  -12.0000000000
0.1963495408    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -3.3075786403    0.9987364918  -12.0000000000
0.2159844949    0.1413716694    1.8002668407   -8.4139423448   -1.6148470594   -0.4623054477    0.6884494161   92.9860860833
0.2159844949    0.2827433388    0.6165003491   -6.8262262096   -2.3511550792   -2.5813723643    0.2539276515    8.7541686938
0.2159844949    0.4241150082    0.1152744156   -1.2202734461    0.3865664577   -3.3045290125    0.4273424120  -10.9957756350
0.2159844949    0.5654866776    0.0226007267   -0.3111449559    0.2533616690   -3.3415163422    0.6362788172  -11.9683650511
0.2159844949    0.7068583471    0.0018878780   -0.0416109540    0.0374680843   -3.3446133494    0.7793384652  -11.9996904802
0.2159844949    0.8482300165    0.0000344874   -0.0012355622    0.0011619729   -3.3446516597    0.8743119889  -11.9999998603
0.2159844949    0.9896016859    0.0000000455   -0.0000027623    0.0000026586   -3.3446516806    0.9354545633  -12.0000000000
0.2159844949    1.1309733553    0.0000000000   -0.0000000000    0.0000000000   -3.3446516806    0.9721907946  -12.0000000000
0.2159844949    1.2723450247    0.0000000000   -0.0000000000    0.0000000000   -3.3446516806    0.9913292357  -12.0000000000
0.2159844949    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -3.3446516806    0.9987364921  -12.0000000000
0.2356194490    0.1413716694    1.7990193497   -8.4163530973   -1.7418565485   -0.4673300800    0.6864356682   92.1798722423
0.2356194490    0.2827433388    0.6108270035   -6.8849860839   -2.5740587937   -2.6241700497    0.2486914323    8.1956829365
0.2356194490    0.4241150082    0.1184412535   -1.1659294146    0.3968715248   -3.3442297508    0.4285548780  -11.0881890948
0.2356194490    0.5654866776    0.0258485246   -0.3334831523    0.2675131223   -3.3809416012    0.6368823187  -11.9613251392
0.2356194490    0.7068583471    0.0025298179   -0.0521564056    0.0465765567   -3.3847168338    0.7793617440  -11.9994778710
0.2356194490    0.8482300165    0.0000602184   -0.0020108230    0.0018818467   -3.3847810579    0.8743120658  -11.9999996016
0.2356194490    0.9896016859    0.0000001276   -0.0000071580    0.0000068666   -3.3847811172    0.9354545841  -12.0000000000
0.2356194490    1.1309733553    0.0000000000   -0.0000000003    0.0000000003   -3.3847811172    0.9721908036  -12.0000000000
0.2356194490    1.2723450247    0.0000000000   -0.0000000000    0.0000000000   -3.3847811172    0.9913292385  -12.0000000000
0.2356194490    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -3.3847811172    0.9987364925  -12.0000000000
0.2552544031    0.1413716694    1.7977309809   -8.4189259337   -1.8642997887   -0.4725185690    0.6843615009   91.3514073896
0.2552544031    0.2827433388    0.6047528021   -6.9497124570   -2.7993790142   -2.6702074449    0.2431561079    7.6084673378
0.2552544031    0.4241150082    0.1216739408   -1.1145686174    0.4008899938   -3.3870075432    0.4297410859  -11.1686262319
0.2552544031    0.5654866776    0.0292578691   -0.3540364105    0.2790989174   -3.4232496252    0.6375586365  -11.9534470320
0.2552544031    0.7068583471    0.0033188568   -0.0640179171    0.0566582834   -3.4277516464    0.7793971619  -11.9991554475
0.2552544031    0.8482300165    0.0001009936   -0.0031453787    0.0029282033   -3.4278548340    0.8743122024  -11.9999989505
0.2552544031    0.9896016859    0.0000003300   -0.0000171496    0.0000163937   -3.4278549892    0.9354546073  -12.0000000000
0.2552544031    1.1309733553    0.0000000000   -0.0000000016    0.0000000016   -3.4278549892    0.9721908135  -12.0000000000
0.2552544031    1.2723450247    0.0000000000   -0.0000000000    0.0000000000   -3.4278549892    0.9913292416  -12.0000000000
0.2552544031    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -3.4278549892    0.9987364930  -12.0000000000
0.2748893572    0.1413716694    1.7964136874   -8.4216442088   -1.9820183356   -0.4778227751    0.6822465805   90.5086958257
0.2748893572    0.2827433388    0.5982978346   -7.0205798013   -3.0273200487   -2.7193893012    0.2373532253    6.9963552275
0.2748893572    0.4241150082    0.1249218122   -1.0667645666    0.3986267924   -3.4327614993    0.4308841983  -11.2367179818
0.2748893572    0.5654866776    0.0327961182   -0.3725071623    0.2879793996   -3.4683393957    0.6383011553  -11.9448885830
0.2748893572    0.7068583471    0.0042686103   -0.0770542434    0.0675345609   -3.4735980543    0.7794488988  -11.9986864187
0.2748893572    0.8482300165    0.0001631823   -0.0047430033    0.0043905998   -3.4737573785    0.8743124659  -11.9999974320
0.2748893572    0.9896016859    0.0000007937   -0.0000382557    0.0000364318   -3.4737577558    0.9354546330  -11.9999999999
0.2748893572    1.1309733553    0.0000000001   -0.0000000076    0.0000000074   -3.4737577558    0.9721908246  -12.0000000000
0.2748893572    1.2723450247    0.0000000000   -0.0000000000    0.0000000000   -3.4737577558    0.9913292450  -12.0000000000
0.2748893572    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -3.4737577558    0.9987364935  -12.0000000000
0.2945243113    0.1413716694    1.7950788661   -8.4244894890   -2.0948933354   -0.4831968271    0.6801094782   89.6592346822
0.2945243113    0.2827433388    0.5914827335   -7.0977600470   -3.2580813729   -2.7716211598    0.2313144254    6.3631287426
0.2945243113    0.4241150082    0.1281346640   -1.0228175700    0.3903018410   -3.4813821412    0.4319703095  -11.2928871875
0.2945243113    0.5654866776    0.0364292767   -0.3886925669    0.2940780387   -3.5161097982    0.6391008905  -11.9358270079
0.2945243113    0.7068583471    0.0053895512   -0.0910665218    0.0789745692   -3.5221333779    0.7795216393  -11.9980302814
0.2945243113    0.8482300165    0.0002547207   -0.0069133165    0.0063607296   -3.5223703766    0.8743129855  -11.9999941311
0.2945243113    0.9896016859    0.0000017865   -0.0000799490    0.0000758293   -3.5223712333    0.9354546616  -11.9999999996
0.2945243113    1.1309733553    0.0000000004   -0.0000000314    0.0000000303   -3.5223712334    0.9721908369  -12.0000000000
0.2945243113    1.2723450247    0.0000000000   -0.0000000000    0.0000000000   -3.5223712334    0.9913292489  -12.0000000000
0.2945243113    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -3.5223712334    0.9987364941  -12.0000000000
0.3141592654    0.1413716694    1.7937372060   -8.4274419114   -2.2028443197   -0.4885977316    0.6779674333   88.8099222874
0.3141592654    0.2827433388    0.5843284994   -7.1814181919   -3.4918546299   -2.8268105404    0.2250711322    5.7124762147
0.3141592654    0.4241150082    0.1312644590   -0.9827753464    0.3763340988   -3.5327527001    0.4329883909  -11.3381934040
0.3141592654    0.5654866776    0.0401227722   -0.4024747214    0.2973815699   -3.5664595545    0.6399469721  -11.9264518364
0.3141592654    0.7068583471    0.0066882940   -0.1058078780    0.0907066342   -3.5732332294    0.7796203074  -11.9971455265
0.3141592654    0.8482300165    0.0003850852   -0.0097641954    0.0089247627   -3.5735736510    0.8743139921  -11.9999874096
0.3141592654    0.9896016859    0.0000037840   -0.0001574019    0.0001486429   -3.5735754760    0.9354546932  -11.9999999984
0.3141592654    1.1309733553    0.0000000016   -0.0000001145    0.0000001101   -3.5735754763    0.9721908505  -12.0000000000
0.3141592654    1.2723450247    0.0000000000   -0.0000000000    0.0000000000   -3.5735754763    0.9913292531  -12.0000000000
0.3141592654    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -3.5735754763    0.9987364947  -12.0000000000
0.3337942194    0.1413716694    1.7923985678   -8.4304806016   -2.3058274992   -0.4939858500    0.6758361773   87.9669935582
0.3337942194    0.2827433388    0.5768563356   -7.2717071999   -3.7288197604   -2.8848680191    0.2186542826    5.0479559829
0.3337942194    0.4241150082    0.1342668643   -0.9464708855    0.3573093601   -3.5867506320    0.4339300975  -11.3741447675
0.3337942194    0.5654866776    0.0438422074   -0.4138090919    0.2979360054   -3.6192870508    0.6408272047  -11.9169584858
0.3337942194    0.7068583471    0.0081670769   -0.1209963859    0.1024324849   -3.6267727684    0.7797497160  -11.9959930819
0.3337942194    0.8482300165    0.0005651232   -0.0133928618    0.0121546516   -3.6272459346    0.8743158720  -11.9999745315
0.3337942194    0.9896016859    0.0000075808   -0.0002933851    0.0002757662   -3.6272495990    0.9354547286  -11.9999999941
0.3337942194    1.1309733553    0.0000000057   -0.0000003744    0.0000003589   -3.6272496000    0.9721908654  -12.0000000000
0.3337942194    1.2723450247    0.0000000000   -0.0000000000    0.0000000000   -3.6272496000    0.9913292577  -12.0000000000
0.3337942194    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -3.6272496000    0.9987364953  -12.0000000000
0.3534291735    0.1413716694    1.7910718974   -8.4335841246   -2.4038336290   -0.4993252436    0.6737298162   87.1359807880
0.3534291735    0.2827433388    0.5690874918   -7.3687620168   -3.9691400725   -2.9457081778    0.2120940955    4.3729669194
0.3534291735    0.4241150082    0.1371025007   -0.9135727908    0.3339357182   -3.6432491952    0.4347894993  -11.4024997604
0.3534291735    0.5654866776    0.0475540419   -0.4227123840    0.2958395669   -3.6744901465    0.6417286504  -11.9075420773
0.3534291735    0.7068583471    0.0098234762   -0.1363300850    0.1138431228   -3.6826279249    0.7799141701  -11.9945401262
0.3534291735    0.8482300165    0.0008067335   -0.0178765280    0.0160993170   -3.6832655774    0.8743192300  -11.9999512201
0.3534291735    0.9896016859    0.0000144293   -0.0005200272    0.0004863449   -3.6832725406    0.9354547691  -11.9999999801
0.3534291735    1.1309733553    0.0000000181   -0.0000011082    0.0000010584   -3.6832725440    0.9721908818  -12.0000000000
0.3534291735    1.2723450247    0.0000000000   -0.0000000000    0.0000000000   -3.6832725440    0.9913292629  -12.0000000000
0.3534291735    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -3.6832725440    0.9987364961  -12.0000000000
0.3730641276    0.1413716694    1.7897651693   -8.4367309431   -2.4968855205   -0.5045838930    0.6716607667   86.3216973796
0.3730641276    0.2827433388    0.5610431233   -7.4726924849   -4.2129560162   -3.0092504074    0.2054198845    3.6907257194
0.3730641276    0.4241150082    0.1397378139   -0.8836421549    0.3069920327   -3.7021189627    0.4355627940  -11.4250806853
0.3730641276    0.5654866776    0.0512261754   -0.4292506917    0.2912337346   -3.7319660325    0.6426381883  -11.8983914532
0.3730641276    0.7068583471    0.0116503663   -0.1515026153    0.1246348281   -3.7406765262    0.7801170665  -11.9927638111
0.3730641276    0.8482300165    0.0011224000   -0.0232636237    0.0207767339   -3.7415111932    0.8743249550  -11.9999112035
0.3730641276    0.9896016859    0.0000262007   -0.0008800509    0.0008186052   -3.7415237622    0.9354548180  -11.9999999384
0.3730641276    1.1309733553    0.0000000529   -0.0000029965    0.0000028506   -3.7415237724    0.9721908998  -12.0000000000
0.3730641276    1.2723450247    0.0000000000   -0.0000000001    0.0000000001   -3.7415237724    0.9913292685  -12.0000000000
0.3730641276    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -3.7415237724    0.9987364969  -12.0000000000
0.3926990817    0.1413716694    1.7884853602   -8.4398998609   -2.5850352797   -0.5097338018    0.6696397409   85.5282415329
0.3926990817    0.2827433388    0.5527441640   -7.5835748885   -4.4603773788   -3.0754195492    0.1986599127    3.0042508083
0.3926990817    0.4241150082    0.1421455256   -0.8561895776    0.2772754120   -3.7632291911    0.4362480314  -11.4436168293
0.3926990817    0.5654866776    0.0548284173   -0.4335284531    0.2842935383   -3.7916111802    0.6435430173  -11.8896836243
0.3926990817    0.7068583471    0.0136361160   -0.1662180888    0.1345239198   -3.8007992679    0.7803605417  -11.9906544164
0.3926990817    0.8482300165    0.0015246055   -0.0295666156    0.0261678914   -3.8018622578    0.8743342769  -11.9998458384
0.3926990817    0.9896016859    0.0000455517   -0.0014270715    0.0013197110   -3.8018838827    0.9354548831  -11.9999998254
0.3926990817    1.1309733553    0.0000001422   -0.0000074639    0.0000070700   -3.8018839116    0.9721909195  -12.0000000000
0.3926990817    1.2723450247    0.0000000000   -0.0000000006    0.0000000006   -3.8018839116    0.9913292746  -12.0000000000
0.3926990817    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -3.8018839116    0.9987364978  -12.0000000000
0.4123340358    0.1413716694    1.7872384472   -8.4430704309   -2.6683613505   -0.5147509964    0.6676757729   84.7590166046
0.4123340358    0.2827433388    0.5442112200   -7.7014417973   -4.7114735668   -3.1441463567    0.1918412888    2.3163525507
0.4123340358    0.4241150082    0.1443046723   -0.8307263706    0.2455535057   -3.8264490189    0.4368448633  -11.4596292972
0.4123340358    0.5654866776    0.0583328378   -0.4356785073    0.2752180017   -3.8533214055    0.6444310779  -11.8815789763
0.4123340358    0.7068583471    0.0157649935   -0.1802040313    0.1432591486   -3.8628804802    0.7806452094  -11.9882175387
0.4123340358    0.8482300165    0.0020251633   -0.0367572810    0.0322134183   -3.8641996748    0.8743487977  -11.9997439229
0.4123340358    0.9896016859    0.0000760788   -0.0022245946    0.0020443324   -3.8642352475    0.9354549812  -11.9999995429
0.4123340358    1.1309733553    0.0000003543   -0.0000172522    0.0000162665   -3.8642353225    0.9721909411  -12.0000000000
0.4123340358    1.2723450247    0.0000000000   -0.0000000031    0.0000000029   -3.8642353225    0.9913292814  -12.0000000000
0.4123340358    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -3.8642353225    0.9987364988  -12.0000000000
0.4319689899    0.1413716694    1.7860294294   -8.4462233129   -2.7469654413   -0.5196154370    0.6657762794   84.0167647813
0.4319689899    0.2827433388    0.5354644817   -7.8262698159   -4.9662615733   -3.2153677590    0.1849899023    1.6296293175
0.4319689899    0.4241150082    0.1462002818   -0.8068052576    0.2125263201   -3.8916485062    0.4373543134  -11.4743623578
0.4319689899    0.5654866776    0.0617140102   -0.4358534019    0.2642213744   -3.9169920489    0.6452913834  -11.8742175131
0.4319689899    0.7068583471    0.0180177366   -0.1932215679    0.1506309708   -3.9268086611    0.7809700175  -11.9854750539
0.4319689899    0.8482300165    0.0026345169   -0.0447650255    0.0388133658   -3.9284063195    0.8743704835  -11.9995918113
0.4319689899    0.9896016859    0.0001224310   -0.0033434946    0.0030517643   -3.9284624274    0.9354551471  -11.9999988879
0.4319689899    1.1309733553    0.0000008234   -0.0000372461    0.0000349442   -3.9284626081    0.9721909647  -11.9999999999
0.4319689899    1.2723450247    0.0000000002   -0.0000000131    0.0000000124   -3.9284626081    0.9913292887  -12.0000000000
0.4319689899    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -3.9284626081    0.9987364999  -12.0000000000
0.4516039440    0.1413716694    1.7848623674   -8.4493405698   -2.8209694070   -0.5243108554    0.6639471480   83.3036108114
0.4516039440    0.2827433388    0.5265236607   -7.9579647709   -5.2246911662   -3.2890269037    0.1781303965    0.9464688783
0.4516039440    0.4241150082    0.1478227744   -0.7840477850    0.1788004969   -3.9586995392    0.4377785611  -11.4887591479
0.4516039440    0.5654866776    0.0649491529   -0.4342179942    0.2515255147   -3.9825182601    0.6461142566  -11.8677162811
0.4516039440    0.7068583471    0.0203722373   -0.2050724204    0.1564773633   -3.9924767759    0.7813322375  -11.9824647694
0.4516039440    0.8482300165    0.0033610652   -0.0534784849    0.0458302770   -3.9943675728    0.8744016038  -11.9993739137
0.4516039440    0.9896016859    0.0001903583   -0.0048579586    0.0044016427   -3.9944526481    0.9354554466  -11.9999974722
0.4516039440    1.1309733553    0.0000017958   -0.0000755448    0.0000704982   -3.9944530549    0.9721909905  -11.9999999997
0.4516039440    1.2723450247    0.0000000007   -0.0000000493    0.0000000467   -3.9944530549    0.9913292967  -12.0000000000
0.4516039440    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -3.9944530549    0.9987365010  -12.0000000000
0.4712388980    0.1413716694    1.7837404372   -8.4524058981   -2.8905121539   -0.5288245347    0.6621928456   82.6211127691
0.4712388980    0.2827433388    0.5174079495   -8.0963438016   -5.4866267637   -3.3650729524    0.1712861735    0.2690545239
0.4712388980    0.4241150082    0.1491671921   -0.7621578405    0.1448768949   -4.0274766262    0.4381207300  -11.5034739378
0.4712388980    0.5654866776    0.0680181899   -0.4309433224    0.2373535674   -4.0497953678    0.6468914786  -11.8621679768
0.4712388980    0.7068583471    0.0228042885   -0.2156026646    0.1606862295   -4.0597823407    0.7817275815  -11.9792388543
0.4712388980    0.8482300165    0.0042105668   -0.0627502768    0.0530952959   -4.0619718437    0.8744446146  -11.9990736125
0.4712388980    0.9896016859    0.0002866694   -0.0068401261    0.0061485483   -4.0620961505    0.9354559965  -11.9999946056
0.4712388980    1.1309733553    0.0000036952   -0.0001447033    0.0001342614   -4.0620970095    0.9721910187  -11.9999999989
0.4712388980    1.2723450247    0.0000000025   -0.0000001660    0.0000001566   -4.0620970097    0.9913293055  -12.0000000000
0.4712388980    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -4.0620970097    0.9987365023  -12.0000000000
0.4908738521    0.1413716694    1.7826659956   -8.4554047892   -2.9557466238   -0.5331470463    0.6605165409   81.9703171502
0.4908738521    0.2827433388    0.5081360104   -8.2411137559   -5.7518254033   -3.4434605968    0.1644794309   -0.4006247022
0.4908738521    0.4241150082    0.1502323618   -0.7409227235    0.1111502866   -4.0978575979    0.4383846813  -11.5189097557
0.4908738521    0.5654866776    0.0709037424   -0.4262016698    0.2219249287   -4.1187193073    0.6476163585  -11.8576406342
0.4908738521    0.7068583471    0.0252883414   -0.2247035153    0.1631947631   -4.1286273285    0.7821504262  -11.9758612716
0.4908738521    0.8482300165    0.0051856719   -0.0724044168    0.0604167293   -4.1311110732    0.8745019899  -11.9986745508
0.4908738521    0.9896016859    0.0004190842   -0.0093538792    0.0083359970   -4.1312864824    0.9354569898  -11.9999891430
0.4908738521    1.1309733553    0.0000072071   -0.0002629841    0.0002424971   -4.1312881921    0.9721910497  -11.9999999961
0.4908738521    1.2723450247    0.0000000081   -0.0000005051    0.0000004739   -4.1312881928    0.9913293150  -12.0000000000
0.4908738521    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -4.1312881928    0.9987365037  -12.0000000000
0.5105088062    0.1413716694    1.7816406524   -8.4583246256   -3.0168369100   -0.5372719579    0.6589202349   81.3518159699
0.5105088062    0.2827433388    0.4987259916   -8.3918452519   -6.0199101683   -3.5241492552    0.1577312230   -1.0607602988
0.5105088062    0.4241150082    0.1510200817   -0.7202047318    0.0779184361   -4.1697242124    0.4385748161  -11.5352693110
0.5105088062    0.5654866776    0.0735910685   -0.4201627090    0.2054513963   -4.1891870823    0.6482837354  -11.8541782237
0.5105088062    0.7068583471    0.0277982348   -0.2323096288    0.1639863429   -4.1989179486    0.7825941155  -11.9724045235
0.5105088062    0.8482300165    0.0062856154   -0.0822456435    0.0675902212   -4.2016812005    0.8745760166  -11.9981621768
0.5105088062    0.9896016859    0.0005959749   -0.0124484139    0.0109904702   -4.2019207284    0.9354587255  -11.9999793079
0.5105088062    1.1309733553    0.0000133811   -0.0004553862    0.0004171077   -4.2019239483    0.9721910844  -11.9999999875
0.5105088062    1.2723450247    0.0000000242   -0.0000014010    0.0000013068   -4.2019239505    0.9913293253  -12.0000000000
0.5105088062    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -4.2019239505    0.9987365052  -12.0000000000
0.5301437603    0.1413716694    1.7806653476   -8.4611547161   -3.0739555430   -0.5411955248    0.6574048946   80.7658039298
0.5301437603    0.2827433388    0.4891955753   -8.5479417676   -6.2903384394   -3.6071019031    0.1510615442   -1.7097077604
0.5301437603    0.4241150082    0.1515343978   -0.6999269813    0.0453970130   -4.2429626593    0.4386958936  -11.5526085629
0.5301437603    0.5654866776    0.0760679627   -0.4129905911    0.1881343558   -4.2610972346    0.6488899280  -11.8518019748
0.5301437603    0.7068583471    0.0303078604   -0.2383955288    0.1630856347   -4.2705643471    0.7830513082  -11.9689460488
0.5301437603    0.8482300165    0.0075060930   -0.0920697274    0.0744095681   -4.2735825658    0.8746685758  -11.9975253673
0.5301437603    0.9896016859    0.0008260032   -0.0161523047    0.0141161954   -4.2738996838    0.9354616382  -11.9999625150
0.5301437603    1.1309733553    0.0000237408   -0.0007541735    0.0006857998   -4.2739054435    0.9721911250  -11.9999999630
0.5301437603    1.2723450247    0.0000000665   -0.0000035713    0.0000033111   -4.2739054500    0.9913293365  -12.0000000000
0.5301437603    1.4137166941    0.0000000000   -0.0000000002    0.0000000002   -4.2739054500    0.9987365068  -12.0000000000
0.5497787144    0.1413716694    1.7797404290   -8.4638862777   -3.1272809769   -0.5449163755    0.6559705868   80.2121341100
0.5497787144    0.2827433388    0.4795620595   -8.7086031907   -6.5623644070   -3.6922834823    0.1444894291   -2.3459678232
0.5497787144    0.4241150082    0.1517810047   -0.6800571166    0.0137367829   -4.3174639541    0.4387528732  -11.5708851918
0.5497787144    0.5654866776    0.0783246273   -0.4048418360    0.1701628420   -4.3343503017    0.6494326422  -11.8505122334
0.5497787144    0.7068583471    0.0327917456   -0.2429707832    0.1605525761   -4.3434802796    0.7835143368  -11.9655645952
0.5497787144    0.8482300165    0.0088393205   -0.1016738057    0.0806771960   -4.3467202265    0.8747809376  -11.9967579268
0.5497787144    0.9896016859    0.0011176738   -0.0204687588    0.0176913381   -4.3471279841    0.9354663214  -11.9999352323
0.5497787144    1.1309733553    0.0000403903   -0.0011986295    0.0010814658   -4.3471378019    0.9721911760  -11.9999998993
0.5497787144    1.2723450247    0.0000001689   -0.0000084313    0.0000077655   -4.3471378194    0.9913293486  -12.0000000000
0.5497787144    1.4137166941    0.0000000000   -0.0000000011    0.0000000010   -4.3471378194    0.9987365086  -12.0000000000
0.5694136685    0.1413716694    1.7788657303   -8.4665123724   -3.1769952991   -0.5484352004    0.6546166063   79.6903710083
0.5694136685    0.2827433388    0.4698424742   -8.8727834593   -6.8349954790   -3.7796588274    0.1380330640   -2.9681661464
0.5694136685    0.4241150082    0.1517667817   -0.6605918508   -0.0169598368   -4.3931242210    0.4387507842  -11.5899976691
0.5694136685    0.5654866776    0.0803535243   -0.3958638849    0.1517123140   -4.4088492460    0.6499108501  -11.8502906832
0.5694136685    0.7068583471    0.0352255395   -0.2460745082    0.1564758521   -4.4175827909    0.7839755500  -11.9623368331
0.5694136685    0.8482300165    0.0102742639   -0.1108658687    0.0862134404   -4.4210041613    0.8749135953  -11.9958597654
0.5694136685    0.9896016859    0.0014788348   -0.0253726396    0.0216661262   -4.4215141994    0.9354735371  -11.9998929272
0.5694136685    1.1309733553    0.0000661002   -0.0018338381    0.0016406232   -4.4215301960    0.9721912472  -11.9999997459
